Q1_1,Q1_2,Q1_3,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16A,Q17A,Q18A,Q19A,Q16B,Q17B,Q18B,Q19B,Q20_1,Q20_2,Q20_3,Q20_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q26,Q26_5_TEXT,Q27,Q28,Q29,Q30,Q30_7_TEXT,Q31,Q31_8_TEXT,Q32,Q33
Agree,Neutral,Disagree,Very different,The writeups seem to describe them as such,Neither comfortable nor uncomfortable,"Again, I'm just not sure if the process is good or bad.",Neither comfortable nor uncomfortable,"Again, I have no idea whether the process is safe",Neither comfortable nor uncomfortable,I don't know so I check off the middle option.,Neither comfortable nor uncomfortable,I'm not sure how I feel,Neither comfortable nor uncomfortable,I want scientific proof as to whether the process is safe.,Neither comfortable nor uncomfortable,"Again, I want see some scientific proof",,,,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,Agree,Don't know/not sure,Don't know/not sure,Agree,Neutral,Disagree,Don't know/not sure,Agree,Disagree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Don't know/ not sure,Agree,Disagree,Strongly agree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Agree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Disagree,Don't know/not sure,Agree,Don't know/not sure,Agree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Male,,1934,"Bachelors (BA, BS, AB)",Liberal,White,,Working for pay,,"Rarely
","Greater than $100,000"
Agree,Agree,Neutral,Very similar,"They are all forms of altering the genome of an organism, leading to the changes continuing to be reproduced as the original organism was.",Very uncomfortable,"Most tomatoes I find in the grocery store are tasteless and do not ripen well.  They go moldy before the become ripe enough to be called true tomatoes.  I rarely find any lumpy tomatoes because I doubt any one knows they exist any more.  I would love to try some of the ""old"" tomatoes to truly compare them.",Very uncomfortable,Increasing sweetness is what causes diabetes in many people.  Grow things the way they were meant to be without changing anything and human beings would be able to return to the natural health they were meant to have.,Neither comfortable nor uncomfortable,I have seen cattle with capped horns.  There are some breeds of cows that do not grow horns.  Breeding could introduce the change gradually and more naturally and could also introduce other benefits the gene splicers are not aware of.,Uncomfortable,Why torture cattle by making them produce more than they were created to produce.  Milk is not a natural choice of beverage for humanity and cows should not be made to suffer to produce more because of man's GREED!!!,Very uncomfortable,"Wheat used to be a home staple, but now people have become allergic or intolerant so cannot eat anything made with wheat.  Lets get wheat back to the way it was meant to be.",Very uncomfortable,"I have tasted Big huge cultivated Blueberries and they are next to tasteless compared the the sweet little blueberries you can find in nature.  So far, man has done nothing to enhance anything they have altered, but they have destroyed much.",,,,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,There are ways to grow crops without using pesticide.  This is better than using pesticides that do not harm the crop and but could still harm humans by being consumed by people eating the crop.  Where do we stop with altering everything because we want to alter crops.  Stop poisoning humans and animals with poisoned crops.,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,People are turning to vegan diets.  We no longer need large cattle farms.  Take over the land from Cattle farmers to grow crops that don't need to be altered and can still grow nice healthy food.  Don't grow food that people don't want.,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,Don't know/not sure,Agree,Neutral,Neutral,Don't know/ not sure,Don't know/ not sure,Disagree,Neutral,Agree,Strongly agree,Disagree,Disagree,Disagree,Don't know/not sure,Neutral,Strongly agree,Don't know/not sure,Strongly agree,Neutral,Strongly disagree,Neutral,Don't know/not sure,Don't know/not sure,Neutral,Don't know/not sure,Neutral,Don't know/not sure,Female,,1949,Associates (2-year degree),Moderate,"If these categories do not accurately reflect how you self-identify, use this box to write your response","I am of Caucasian descent.  

Your education question lacks ""Completed College""  My college was Certified and did not give out degrees or BAs, etc.  You need more comment fields so that people can give you a real response to your questions.",Other (add details here),"I am retired, on a pittance of a pension, and would love to find work, but worksites don't want to hire older people even part time and do not even want to see people who are applying for jobs, no matter how much education they have.",More than once a week,"$40,000-$50,000"
Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Don't know/not sure,They are different ,Uncomfortable,Why do they have to change this,Uncomfortable,I do not feel comfortable about this,Uncomfortable,Animals have those for a reason ,Neither comfortable nor uncomfortable,It might be good,Uncomfortable,How sure are we that this would work,Very uncomfortable,Why change,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,Don't know/not sure,,,,,,Strongly agree,Don't know/not sure,Don't know/not sure,Strongly agree,Strongly agree,Don't know/not sure,Don't know/not sure,Neutral,Neutral,Strongly agree,Don't know/ not sure,Strongly agree,Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Neutral,Don't know/not sure,Don't know/not sure,Agree,Don't know/not sure,Don't know/not sure,Neutral,Don't know/not sure,Don't know/not sure,Don't know/not sure,Agree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Female,,1955,"Masters (MA, MS, MBA, Med)",Moderate,South Asian,,Retired,,Once a week,I prefer not to say
Agree,Don't know/ not sure,Don't know/ not sure,Somewhat different,each process targets different genome,Neither comfortable nor uncomfortable,they don't have the flavor of fresh tomatoes as they did years ago ,Don't know/ not sure,don't like beets so not sure,Neither comfortable nor uncomfortable,if it doesn't effect the taste and no injury to animal no problem,Very uncomfortable,"too much change is occurring with milk products, since I was raised on fresh milk.",Comfortable,as long as it doesn't effect or harm human health,Very uncomfortable,"fruit should be left alone, if technique is applied and it doesn't affect human health than ok",I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,more research on harm it will cause or not cause,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,,,,,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Female,,1948,"Some college, no degree",Moderate,Hispanic,,Retired,,Once a week,"Greater than $100,000"
Neutral,Neutral,Neutral,Neither similar nor different,,Very uncomfortable,,Neither comfortable nor uncomfortable,,Uncomfortable,think a animal should be treated very humane,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,,,,,"A small decrease in production of gene-edited crops, in exchange for a small increase in pesticide use
 ",,"No change: production of gene-edited crops and biodiversity loss stay the same
 ",,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Disagree,Strongly agree,Strongly disagree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,"Strongly agree
","Strongly agree
","Strongly agree
","Strongly agree
",Female,,1943,High school diploma or GED,Conservative,White,,Retired,,"Rarely
","$80,000-$100,000"
Strongly agree,Agree,Strongly disagree,Somewhat different,Gene editing is only done in specific instances,Uncomfortable,Doing to many changes just for packaging ,Comfortable,From one vegetable to another seems reasonable,Very comfortable,Is being done slowly. ,Comfortable,,Very comfortable,This shouldn’t affect our health,Very comfortable,Shouldn’t affect our health. Makes for a better crop,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,Worried about pesticides usage in Mexico and other countries we import fruits and vegetables from,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Agree,Disagree,Disagree,Disagree,"Strongly agree
","Strongly agree
",Agree,Strongly disagree,"Strongly agree
",Neutral,Strongly disagree,Agree,Female,,1949,"Bachelors (BA, BS, AB)",Moderate,White,,Retired,,"Rarely
","Greater than $100,000"
Agree,Neutral,Neutral,Somewhat similar,,Neither comfortable nor uncomfortable,AS LONG AS TASTE STAYS THE SAME,Neither comfortable nor uncomfortable,NO REASON,Very uncomfortable,NOT NATURAL,Uncomfortable,ONLY SO MUCH MILK CAN BE PRODUCED AT ONCE,Neither comfortable nor uncomfortable,NOT YET PROVEN,Neither comfortable nor uncomfortable,STILL UNPROVEN,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,Don't know/not sure,,,,,,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Don't know/not sure,Agree,Agree,Don't know/not sure,Neutral,"Strongly agree
",Agree,Female,,1947,"Some college, no degree",Moderate,White,,Retired,,"Rarely
",I prefer not to say
Strongly agree,Strongly agree,Don't know/ not sure,Somewhat similar,they all involve changing an inherited gene.,Uncomfortable,is this going to affect the biodiversity of tomatoes.  it was a lack of biodiversity that led to the potato famine.,Uncomfortable,"we need to think these things through, we don't really know the results down the road.",Neither comfortable nor uncomfortable,it seems harmless enough but I worry what other changes that could cause.,Uncomfortable,"would that process somehow enter the human genome?  and, again, how does it affect the cows.",Uncomfortable,"I was watching a program on the ""green revolution"".  it was done with good intentions but had a lot of unexpected societal consequences.",Uncomfortable,"what would be their reasoning, again it could have unexpected consequences for insects and birds.",,,,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,"who does own these technologies, will they be freely shared with third world countries, there are other ways to avoid pesticide use surely",I prefer not to answer this question because I don't have information on who owns or controls these technologies,"I would go back to my previous answer of who owns the technology, will it be freely shared,  what are the long term consequences to animal and insect life.",Disagree,Disagree,Strongly disagree,Disagree,Neutral,Don't know/not sure,Don't know/not sure,Neutral,Don't know/not sure,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Don't know/not sure,Strongly disagree,Don't know/not sure,Strongly agree,Disagree,Agree,Don't know/not sure,"Strongly agree
",Strongly disagree,Neutral,"Strongly agree
",Neutral,"Strongly agree
",Don't know/not sure,"Strongly agree
",Female,,1973,"Bachelors (BA, BS, AB)",Moderate,White,,Other (add details here),temporarily laid off due to covid,Once or twice a month,"$30,000-$40,000"
Agree,Neutral,Disagree,Somewhat similar,"I am not a geneticist, so though they seem to aim for similar outcomes, they may be completely different. ",Uncomfortable,"Unfortunately, modifying and then returning to the original form seems to be counter-intuitive. ",Very comfortable,,Neither comfortable nor uncomfortable,"This reasoning sounds logical to me, though there may be outcomes that I am unaware of. ",Uncomfortable,"I am not aware of milk being in short supply. If a single were able to give more milk and there were a whole herd, would that not lead to cutting out the small-scale dairy farmer who either could not afford to purchase more cows to keep up with the competition in a specific geographic area or who could not afford to purchase GMO cows that give more milk. Does Canada really want to have dairy farms similar to those in the US, just over the border, who have 3-5000 head of dairy cows? ",Neither comfortable nor uncomfortable,"Would it not be better to address climate change and to make adjustments in that domain? Since we have become aware of Covid-19, environments around the world have changed drastically.",Neither comfortable nor uncomfortable,I am not informed about small-fruit growing.,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,,1955,"Bachelors (BA, BS, AB)",Moderate,White,,Retired,,Never,"$60,000-$80,000"
Neutral,Neutral,Neutral,Somewhat different,not the same procedures,Comfortable,,Comfortable,,Comfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,"A small increase in production of gene-edited crops in exchange for small improvements to biodiversity
 ",,,,,,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,,1933,"Bachelors (BA, BS, AB)",Liberal,White,,Retired,,Never,"$60,000-$80,000"
Neutral,Neutral,Neutral,Somewhat similar,They do a similar job ,Neither comfortable nor uncomfortable,I usually plant my own tomatoes ,Neither comfortable nor uncomfortable,I’m okay with that.,Neither comfortable nor uncomfortable,Nothing to say ,Neither comfortable nor uncomfortable,I’m okay with that.,Neither comfortable nor uncomfortable,I’m okay with that ,Neither comfortable nor uncomfortable,I don’t like blueberries ,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,,,,,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Male,,1953,"Bachelors (BA, BS, AB)",Moderate,White,,Retired,,Once a week,"$30,000-$40,000"
Strongly disagree,Strongly disagree,Strongly disagree,Very similar,,Neither comfortable nor uncomfortable,,Comfortable,,Comfortable,,Very comfortable,,Uncomfortable,,Uncomfortable,,,,,,"A large decrease in production of gene-edited crops, in exchange for a large increase in pesticide use
 ",,"A small decrease in use of gene-edited crops, in exchange for a small loss of biodiversity
 ",,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Female,,1954,"Some college, no degree",Liberal,White,,Retired,,Once or twice a month,I prefer not to say
Strongly agree,Strongly agree,Strongly agree,Very similar,Ehh mate lemme get off this suervey now/,Comfortable,Looks good like the ones I grow in my back yard,Neither comfortable nor uncomfortable,Soubbds weird,Comfortable,Love petting em cows,Comfortable,Good taste,Comfortable,Straight,Comfortable,Taste good,,,,,"A small decrease in production of gene-edited crops, in exchange for a small increase in pesticide use
 ",Natural is just better for the environment,"A small decrease in use of gene-edited crops, in exchange for a small loss of biodiversity
 ",Better for nature,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Male,,1999,"Bachelors (BA, BS, AB)",Liberal,South Asian,,Working for pay,,Once or twice a month,"$40,000-$50,000"
Agree,Agree,Don't know/ not sure,Very different,,Comfortable,Taste is one of the main ingredient which we look for in this fruit.  Not having this change we do not buy store sold tomatoes.  They need to be sweetened to be good again.,Uncomfortable,Don't want a change of taste to a beet taste,Very comfortable,,Comfortable,,Comfortable,,Comfortable,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,,,,,Don't know/not sure,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Don't know/not sure,Don't know/not sure,Disagree,Strongly agree,Agree,Strongly agree,Agree,Don't know/not sure,Agree,Don't know/not sure,Don't know/not sure,Neutral,Don't know/not sure,Agree,Don't know/not sure,Female,,1933,"Masters (MA, MS, MBA, Med)",Very liberal,White,,Retired,,More than once a week,"$40,000-$50,000"
Agree,Disagree,Strongly disagree,Don't know/not sure,I am not sure,Don't know/not sure,I am unsure,Don't know/ not sure,unsure,Neither comfortable nor uncomfortable,unsure,Uncomfortable,I dont like the idea of that,Neither comfortable nor uncomfortable,I am unsure,Neither comfortable nor uncomfortable,I am unsure of how it would work,I prefer not to answer this question because I don't have information on who owns or controls these technologies,I am not sure I am comfortable with this,Don't know/not sure,I am unsure,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,,1997,"Bachelors (BA, BS, AB)",Moderate,White,,"Working for pay,Going to school",,Never,"$60,000-$80,000"
Agree,Disagree,Disagree,Somewhat different,,Comfortable,,Comfortable,,Comfortable,,Uncomfortable,How does this affect the individual cow? Is it uncomfortable for the cow to produce a greater quantity of milk?,Comfortable,Benefits areas to help reduce or prevent food shortage and famine,Comfortable,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",Not sure about the balance of nature and what the pests would target instead of crops,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,,,,,Don't know/not sure,Don't know/not sure,Don't know/not sure,Agree,Neutral,Disagree,Don't know/not sure,Neutral,Don't know/not sure,Don't know/ not sure,Neutral,Agree,Agree,Don't know/ not sure,Don't know/ not sure,Neutral,Don't know/not sure,Disagree,Disagree,Agree,Don't know/not sure,Don't know/not sure,Agree,Don't know/not sure,Agree,Agree,Agree,Don't know/not sure,Agree,Don't know/not sure,Don't know/not sure,Agree,Don't know/not sure,Agree,Female,,1946,"Bachelors (BA, BS, AB)",Liberal,White,,Retired,,Once a week,"$40,000-$50,000"
Disagree,Disagree,Disagree,Somewhat different,They do sound somewhat different. But I still don't understand them.,Uncomfortable,Why? Who cares what a tomato looks like?,Uncomfortable,Why? I just don't grasp why we bother.,Very uncomfortable,Leave the poor animals alone.,Uncomfortable,What a stupid waste of money.,Very uncomfortable,"At this point, I wonder why we fool with God's creations.",Very uncomfortable,Don't fool with God's creations. Or Mother Nature if you prefer.,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,This whole survey is questionable. A non-interesting subject. I simply don't care. And as I said: Stop fooling with God's creations.,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,Same response as before.,,,,,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Strongly disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Male,,1938,Associates (2-year degree),Moderate,"If these categories do not accurately reflect how you self-identify, use this box to write your response",Caucasian. We are not black nor white.,"Retired,Other (add details here)",All people should be allowed to retire when they want to or need to. ,Never,I prefer not to say
Agree,Agree,Don't know/ not sure,Don't know/not sure,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Comfortable,,"No change: production of gene-edited crops and pesticide use stay the same
 ",,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,,,,,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Don't know/ not sure,Don't know/ not sure,Don't know/ not sure,Agree,Agree,Don't know/not sure,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Female,,1951,"Masters (MA, MS, MBA, Med)",Very liberal,White,,Retired,,Never,I prefer not to say
Disagree,Disagree,Disagree,Somewhat different,,Comfortable,,Neither comfortable nor uncomfortable,,Comfortable,,Comfortable,,Comfortable,,Comfortable,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Don't know/ not sure,Disagree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Don't know/not sure,Disagree,Agree,Agree,Disagree,Neutral,Agree,Strongly disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Female,,1948,"Some college, no degree",Moderate,White,,Retired,,Once or twice a month,"$30,000-$40,000"
Agree,Don't know/ not sure,Don't know/ not sure,Somewhat similar,,Comfortable,,Neither comfortable nor uncomfortable,tomatoes have to taste good,Neither comfortable nor uncomfortable,,Comfortable,,Comfortable,,Don't know/not sure,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,,,,,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Don't know/ not sure,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Don't know/not sure,Don't know/not sure,Agree,Don't know/not sure,Neutral,Agree,Don't know/not sure,Don't know/not sure,Female,,1944,"Some college, no degree",Liberal,White,,Retired,,"Rarely
","$20,000-$30,000"
Agree,Disagree,Strongly disagree,Somewhat different,who knows what is added with GM,Comfortable,"tomato to tomato, nothing else",Uncomfortable,different species,Don't know/not sure,concept unclear,Don't know/not sure,concept still unclear,Uncomfortable,which plant???,Uncomfortable,"same reason, who know which plant is added",,,,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,nuff said,Don't know/not sure,,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Don't know/ not sure,Disagree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Don't know/not sure,Don't know/not sure,Strongly disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,"Strongly agree
",Female,,1949,"Some college, no degree",Liberal,White,,Retired,,Never,"$80,000-$100,000"
Neutral,Disagree,Strongly disagree,Somewhat similar,"They all encompass methods of genes however, are correlated and can intersect but does not necessarily mean one is dependent on the other it seems",Don't know/not sure,"Personally at first uncomfortable since I would prefer to have a more flavorful, ""true"" version of a tomato, however I guess it depends if the editing of making the tomato more easy to process into the market would be the trade-off therefore becoming more readily available.",Don't know/ not sure,I guess it depends on the comparison of flavors from the original tomato sweetness versus the sweetness from the sugar beet,Don't know/not sure,"At face value it seems like it would be a more ethical approach in comparison to surgically removing the horns however because ultimately the goal is to not even have to remove the horns if you produce the diary cattle without horns, right? But when looking at it from other directions, ethical dilemmas can occur in mutating a species for the benefit of humans. Also, the description coining the terms pain and suffering could get the participant to feel more biased towards feeling more uncomfortable. At the same time, the horn removal isn't going to stop, therefore lesser of evils would be to produce the cows without them.",Don't know/not sure,"Again, same thing reasoning as before.",Don't know/not sure,"Lean more towards comfortable than uncomfortable because of course, mutating plants versus animals reduces a lot of ethical dilemmas. However, I guess it depends on what the side effects or drawbacks are from the editing? Are there any consequences to doing this?",Don't know/not sure,"Not sure, I feel like I'm not informed enough about the technique of editing genes to make a decision. Need to know the drawbacks as well as the positive.",,,,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,Both not having information on who controls this market and other ways of avoiding pesticide use,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,Maybe other options of land locations,Agree,Disagree,Disagree,Agree,Neutral,Don't know/not sure,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Don't know/not sure,Disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Agree,Agree,Don't know/not sure,Neutral,Disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Female,,1997,"Some college, no degree",Moderate,East Asian,,Going to school,,Never,I prefer not to say
Neutral,Agree,Neutral,Neither similar nor different,,Neither comfortable nor uncomfortable,,Comfortable,,Neither comfortable nor uncomfortable,,Comfortable,,Comfortable,,Comfortable,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"No change: production of gene-edited crops and biodiversity loss stay the same
 ",,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Male,,1950,"Bachelors (BA, BS, AB)",Conservative,White,,Retired,,"Rarely
","$60,000-$80,000"
Agree,Agree,Disagree,Somewhat different,,Neither comfortable nor uncomfortable,,Uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,,,,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,Disagree,Neutral,Strongly disagree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Male,,1952,"Bachelors (BA, BS, AB)",Moderate,White,,Working for pay,,Never,"Greater than $100,000"
Strongly agree,Agree,Neutral,Very different,They're all different because they effect different time spams of a genetic modification ,Very uncomfortable,I dont think this is okay. It's double modification ,Very uncomfortable,I think this would lead to possibly dying of the tomato crop that we know. The way that the old bananas have died ,Very uncomfortable,Doing to cows what we did to chickens I cant even imagine what would happen to the environment. We are using 2/3 of the earths water for farming and animals we slauther. This will make such a more signififcant impact on depleding our resources. ,Uncomfortable,I think this will cause more health dangers than benefits ,Uncomfortable,I feel like changes like this lead to global warming ,Uncomfortable,I feel like if this starts spreading to fruit it will spread to everything. ,"No change: production of gene-edited crops and pesticide use stay the same
 ","In a perfect world I would say that we decrease both, but that's not possible I guess. We should use small farms we have in our localities. ",I prefer not to answer this question because I don't have information on who owns or controls these technologies,I feel like these companies are connected irregardless. So there's no lesser evil from the two. ,,,,,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,"Strongly agree
",Neutral,"Strongly agree
",Disagree,Disagree,Female,,1992,"Doctorate (PhD or EdD) or Professional (MD, JD, DVM, DDS)",Liberal,White,,"Working for pay,Going to school",,Never,"$80,000-$100,000"
